SYMBOL,bb_Window,rsi_Window,stddev_Window,Returns,Sharpe_Ratio,Profit_Factor,Win_Rate,Number_of_Trade,Max_Drawdown,Mean_DrawDown,Recovery_Factor,R_Squared,Event_Over_Fitting,Parameter
ETHUSDT,10,14,2,-0.2444908645776482,-0.6093508976793746,0.7937659004771765,70.49180327868852,61,52.20129699000371,-17.14051830877637,0.4683616666161896,0.2800432041115023,-16.986416576100837,bb_10-rsi_14-stddev_2
ETHUSDT,10,14,3,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_14-stddev_3
ETHUSDT,10,14,4,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_14-stddev_4
ETHUSDT,10,14,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_14-stddev_5
ETHUSDT,20,10,2,-0.32748126462442967,-0.9768932255907476,0.7613037934094898,63.70370370370371,135,51.09141258302978,-15.499628975147479,0.6409712475501292,0.42958378734844993,-19.24785683115804,bb_20-rsi_10-stddev_2
ETHUSDT,20,10,3,0.03840142665517291,0.3679067752002159,1.0318415620913657,70.96774193548387,62,40.006797867091414,-7.863041219741961,0.09598725392306631,0.23503399665402902,105.12931223157251,bb_20-rsi_10-stddev_3
ETHUSDT,20,10,4,-0.11923069255663961,-0.6737310931146623,0.022324784264239856,50.0,2,22.20784586004725,-8.711627232809178,0.5368854471884646,0.7488277587721223,,bb_20-rsi_10-stddev_4
ETHUSDT,20,10,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_20-rsi_10-stddev_5
ETHUSDT,20,12,2,-0.2910720303773827,-0.8356562403115293,0.767014267718826,69.6969696969697,99,52.210735155984835,-14.47344876066661,0.5574946024180194,0.24715293559331042,-21.347940971859487,bb_20-rsi_12-stddev_2
ETHUSDT,20,12,3,-0.12865081740217021,-0.18848936886995302,0.8816114192377504,70.0,50,45.57366481156737,-9.133352410073387,0.282292016527748,0.08387448389565733,-21.89188055037417,bb_20-rsi_12-stddev_3
ETHUSDT,20,12,4,-0.11923069255663961,-0.6737310931146623,0.022324784264239856,50.0,2,22.20784586004725,-8.711627232809178,0.5368854471884646,0.7488277587721223,,bb_20-rsi_12-stddev_4
ETHUSDT,20,12,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_20-rsi_12-stddev_5
ETHUSDT,20,14,2,-0.2636982110862253,-0.7168823081286291,0.7768916674900592,69.86301369863014,73,52.87681068791693,-16.93386071095414,0.4987029430398001,0.23436881224441375,-18.604359317765027,bb_20-rsi_14-stddev_2
ETHUSDT,20,14,3,-0.26700671680100513,-0.7352335020039602,0.6809976024597968,59.375,32,48.70440264572069,-10.89061430405919,0.5482188514726914,0.06398788533499289,-6.606765204460525,bb_20-rsi_14-stddev_3
ETHUSDT,20,14,4,-0.11923069255663961,-0.6737310931146623,0.022324784264239856,50.0,2,22.20784586004725,-8.711627232809178,0.5368854471884646,0.7488277587721223,,bb_20-rsi_14-stddev_4
ETHUSDT,20,14,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_20-rsi_14-stddev_5
DOGEUSDT,10,10,2,-0.0006357120999999986,-0.878147622414892,0.7565241253687307,55.88235294117647,102,0.15027496751608416,-0.05435074846482708,0.4230325985144248,0.39135981375097184,-29.898058570853088,bb_10-rsi_10-stddev_2
DOGEUSDT,10,10,3,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_10-stddev_3
DOGEUSDT,10,10,4,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_10-stddev_4
DOGEUSDT,10,10,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_10-stddev_5
DOGEUSDT,10,12,2,9.644940000000144e-05,0.13419205730763828,1.0489335092210947,63.74999999999999,80,0.10402989187650036,-0.032870455451727905,0.0927131599007157,0.08927580146865122,128.97258044114173,bb_10-rsi_12-stddev_2
DOGEUSDT,10,12,3,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_12-stddev_3
DOGEUSDT,10,12,4,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_12-stddev_4
DOGEUSDT,10,12,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_12-stddev_5
DOGEUSDT,10,14,2,0.00018999770000000137,0.2716781360055357,1.1201833108651085,68.25396825396825,63,0.09243752715619724,-0.03542938747320834,0.20554173812866158,0.10317547544015071,58.419081915201865,bb_10-rsi_14-stddev_2
DOGEUSDT,10,14,3,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_14-stddev_3
DOGEUSDT,10,14,4,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_14-stddev_4
DOGEUSDT,10,14,5,0.0,inf,inf,0.0,0,0.0,0.0,inf,inf,,bb_10-rsi_14-stddev_5
DOGEUSDT,20,10,2,-0.001114621999999998,-1.541281837191324,0.6285234378054165,59.523809523809526,126,0.15606123401625815,-0.060447026248840324,0.7142209319476988,0.8679652553374964,-12.572312048389517,bb_20-rsi_10-stddev_2
