SYMBOL,bb_Window,rsi_Window,Returns,Sharpe_Ratio,Profit_Factor,Win_Rate,Number_of_Trade,Max_Drawdown,Mean_DrawDown,Recovery_Factor,R_Squared,Event_Over_Fitting,Parameter
BTCUSDT,10,10,-0.2626863486517875,-0.9507263749152208,0.7422811367966794,66.07142857142857,112,44.926169670021245,-17.524061793098742,0.584706754618067,0.678704205545541,-10.213121368204519,bb_10-rsi_10
BTCUSDT,10,12,-0.1767717923781676,-0.5169800798634163,0.7781879172273548,59.74025974025974,77,40.73994034626769,-12.482725133368087,0.4339029239505556,0.5715914413303012,-18.70924057316193,bb_10-rsi_12
BTCUSDT,10,14,-0.022627489234545238,0.12068810341685006,0.9707254560980296,62.06896551724138,58,35.48282249847527,-8.462670557107636,0.06377026302098025,0.0038123642848002515,-189.52709637057927,bb_10-rsi_14
BTCUSDT,10,16,0.10989837996097279,0.6074196502831035,1.1455886362314032,68.0,50,31.613205449522365,-5.33848667304323,0.34763440909669985,0.3081454491720391,39.097009201452984,bb_10-rsi_16
BTCUSDT,10,18,0.09074360819963516,0.5391602871418277,1.14241725156184,66.66666666666666,39,33.283488135361395,-8.489136054160582,0.27263851622338336,0.047109847527779136,38.36416375972584,bb_10-rsi_18
BTCUSDT,10,20,0.06183635250690088,0.43648808331793065,1.107981479431721,66.66666666666666,30,32.5501070304419,-9.20190137034512,0.18997280853506732,0.054258236390567816,54.70616737114037,bb_10-rsi_20
BTCUSDT,20,10,-0.15601686248577665,-0.44561860518361784,0.8615993789250589,66.66666666666666,138,37.52245630638931,-12.709770510710728,0.4157959735146927,0.3986229874253392,-23.536843248421864,bb_20-rsi_10
BTCUSDT,20,12,-0.14825886175431235,-0.4044959446192871,0.8383883917088071,60.63829787234043,94,40.11583093710124,-12.03086092894491,0.3695769432939622,0.5048461694237975,-30.102789156083524,bb_20-rsi_12
BTCUSDT,20,14,-0.1272573405809051,-0.3156126721828262,0.8468981772304288,63.76811594202898,69,37.20709569205516,-10.972942300808114,0.3420243859777488,0.2815002537308702,-22.3985355573208,bb_20-rsi_14
BTCUSDT,20,16,0.05740691407285425,0.4206770802242082,1.0698985358764803,64.91228070175438,57,30.729668997658532,-5.950383921204357,0.18681266653808867,0.20936859703109745,87.19388847691694,bb_20-rsi_16
BTCUSDT,20,18,0.17878010724038546,0.8295949388994436,1.2240001363953539,69.56521739130434,46,34.45839652197689,-7.744566714124093,0.5188288640371383,0.209041824378988,33.88812760745962,bb_20-rsi_18
BTCUSDT,20,20,0.1922546959494646,0.8745719552868291,1.2627764022484103,72.97297297297297,37,31.732616241834187,-7.467287753376299,0.6058583209285111,0.3073789837127613,24.937273758840643,bb_20-rsi_20
BTCUSDT,30,10,-0.16687575797049461,-0.4999063117057013,0.8465639156661311,64.34108527131784,129,36.83355567169184,-12.216259127308541,0.45305362169730945,0.356817105729584,-28.542563734361533,bb_30-rsi_10
BTCUSDT,30,12,-0.15520396192499988,-0.4365004406108312,0.8290814643586951,60.63829787234043,94,39.26806121287034,-11.684330940261411,0.395242232825416,0.4874887545159151,-28.19544152572753,bb_30-rsi_12
BTCUSDT,30,14,-0.10691625444039417,-0.23366856367813454,0.8665820886659988,63.76811594202898,69,36.014626587395426,-9.695862037074274,0.2968689795545825,0.150103499151221,-27.671081863138344,bb_30-rsi_14
BTCUSDT,30,16,-0.014441123046862856,0.14863145958660443,0.9818493556029548,62.5,56,31.19784378021326,-6.206061926183926,0.046288849795516666,0.1308835114810457,-264.55945046723696,bb_30-rsi_16
BTCUSDT,30,18,0.20180417159978503,0.90791576083623,1.29178266483014,67.3913043478261,46,28.996258198763737,-7.292455043579592,0.6959662526676942,0.27074840724609117,24.812351518562885,bb_30-rsi_18
BTCUSDT,30,20,0.17070226032814972,0.8049562180511501,1.2398586878627769,73.68421052631578,38,30.50493124271263,-7.540255030605687,0.5595890676492806,0.350239085388969,24.29273895085583,bb_30-rsi_20
BTCUSDT,40,10,-0.1500085106888811,-0.4392790499014818,0.8616243422403339,65.21739130434783,115,35.41103159123633,-9.781055900251726,0.4236208434153775,0.12173184917562452,-37.18366714885541,bb_40-rsi_10
BTCUSDT,40,12,-0.12400814307600001,-0.3169074221994523,0.8637484215110393,61.53846153846154,91,36.56162795006518,-10.391157113775774,0.3391756604639344,0.2704598677220338,-40.11527430220946,bb_40-rsi_12
BTCUSDT,40,14,-0.1670643821118685,-0.5004854066776567,0.7999350951937578,64.61538461538461,65,40.76995877279591,-10.950481331706648,0.4097732427027706,0.22073567492371704,-19.556763417080496,bb_40-rsi_14
BTCUSDT,40,16,-0.06894042362384084,-0.06693453256738263,0.9191782797978583,64.81481481481481,54,35.39830459062946,-7.867439940989305,0.19475628683665985,0.03899917988436441,-53.4387183101186,bb_40-rsi_16
BTCUSDT,40,18,0.05844084178881232,0.42427469857263755,1.0736531897942474,68.18181818181817,44,36.85012305717462,-9.291463242622399,0.15859062857982517,0.05293919408176784,67.50728058151863,bb_40-rsi_18
BTCUSDT,40,20,0.15692073063794268,0.7603046110070534,1.2198998437498818,71.05263157894737,38,31.42837159522668,-7.647718614414875,0.49929640854117846,0.3230309870437331,26.466840841775845,bb_40-rsi_20
ETHUSDT,10,10,-0.2726703140867214,-0.7511559306756869,0.7956774449049911,64.16666666666667,120,48.79266530411927,-14.899708909029338,0.5588346371062076,0.25654706375388314,-28.74528002951144,bb_10-rsi_10
