SYMBOL,fastsma_Window,Returns,Sharpe_Ratio,Profit_Factor,Win_Rate,Number_of_Trade,Max_Drawdown,Mean_DrawDown,Recovery_Factor,R_Squared,Event_Over_Fitting,Parameter
NEARUSDT,50,0.02853195000000004,1.1360467272769474,1.873620574517069,41.66666666666667,24,2.158238341094487,-0.8129239691260814,1.3220018130866351,0.7656861458581516,,fastsma_50
NEARUSDT,60,0.03587251999999999,1.4019944241608064,1.9122384968626998,37.5,24,2.6401513668916743,-0.8855232735884011,1.3587296717094572,0.7912032358878356,,fastsma_60
NEARUSDT,70,0.030737740000000048,1.2068225282984208,1.7277025281827911,36.0,25,2.3941815661095656,-0.9318855387811369,1.2838516691926358,0.7721408294528846,,fastsma_70
NEARUSDT,80,0.01328437,0.5450136575116625,1.2602627436344283,48.275862068965516,29,2.6888854175565413,-1.200713865328594,0.49404745599281974,0.5633877993033388,68.1852349791522,fastsma_80
ZENUSDT,10,-0.011052700000000018,-0.20552645825756344,0.8673871206158456,30.76923076923077,39,8.113455654305746,-3.6043799783868895,0.13622678758507095,0.003598379629628723,-70.99159481393696,fastsma_10
ZENUSDT,20,-0.0032952999999998943,-0.028847754900000334,0.9439542422521039,41.37931034482759,29,7.199134186594735,-3.3069092529927095,0.04577355991135658,0.002863860261225204,-161.21564045762415,fastsma_20
ZENUSDT,30,-0.003457299999999988,-0.03296528895586588,0.9431109692345413,37.03703703703704,27,7.791351479239317,-3.6440991282721833,0.04437355969901039,0.0007857276552831749,-148.53006681514464,fastsma_30
ZENUSDT,40,-0.0008289000000000257,0.025899294204978145,0.9882295639727245,36.0,25,8.183065614541773,-4.27705371108474,0.010129455622682816,0.04115519842739068,,fastsma_40
ZENUSDT,50,-0.008571000000000027,-0.14567293363783726,0.8795879776231162,40.909090909090914,22,8.446347974660274,-4.285110671868642,0.10147580973118464,0.06120322096637776,,fastsma_50
ZENUSDT,60,0.026526999999999967,0.6377854780517824,1.6159458147866923,41.66666666666667,24,6.518512318396363,-3.4051327296323555,0.40694868252586114,0.2283237092584247,,fastsma_60
ZENUSDT,70,0.01170620000000004,0.3096180471953574,1.2776408755523199,52.17391304347826,23,6.12699996953765,-3.587648410327167,0.19105924691041581,0.019159319589678647,,fastsma_70
ZENUSDT,80,-3.239999999993692e-05,0.044297577357245675,0.9994727146084095,48.38709677419355,31,6.854502492955361,-3.9281807310171355,0.0004726820076764968,0.000552304859725572,-14654.484567909683,fastsma_80
BNBUSDT,10,0.3828455411126022,1.7051488125259222,1.7428183538694397,28.57142857142857,35,17.932021518215112,-8.634211376178841,2.1349826104308023,0.677020550671869,36.00732574745268,fastsma_10
BNBUSDT,20,0.419668417419777,1.821156421822898,1.941419742935973,33.33333333333333,27,17.55634831694034,-8.09950189480568,2.390408357385082,0.729678366697625,24.16516884618659,fastsma_20
BNBUSDT,30,0.4300292035617089,1.8323722158063567,1.9502304096187835,32.0,25,16.38673142090308,-8.301921091688275,2.6242524669267437,0.7267894109393321,,fastsma_30
BNBUSDT,40,0.24744721037724118,1.2007007472448032,1.435386193962642,30.76923076923077,26,23.22766187643248,-11.725344027360284,1.0653126074144765,0.4899365694648321,33.61443801573537,fastsma_40
