SYMBOL,Timeframe,Returns,Sharpe_Ratio,Number_of_Trade,Max_Drawdown,Parameter
ETHUSDT,15min,5.620896985132703,0.3349328671755365,164,-39.45089031301584,ETHUSDT_15min
LTCUSDT,15min,3.432196903152828,0.3246102652036946,152,-41.16743148094425,LTCUSDT_15min
LUNCUSDT,15min,-0.00015805139999999998,-1.3351601841759784,182,-0.00019797666135799115,LUNCUSDT_15min
HBARUSDT,15min,0.2223745700000001,1.260326352335856,148,-0.13179394287850205,HBARUSDT_15min
OMUSDT,15min,-1.4664842799999978,-0.6952843552401697,194,-4.321819129179597,OMUSDT_15min
BNBUSDT,15min,19.871175913556556,0.6148383601885881,157,-27.861015037719948,BNBUSDT_15min
SOLUSDT,15min,103.673830311315,1.3697361170520965,154,-39.55491562536578,SOLUSDT_15min
ZENUSDT,15min,13.779540000000024,0.8089958385382459,169,-14.28489231332814,ZENUSDT_15min
NEARUSDT,15min,-0.22666200000000103,-0.02144562033883591,162,-5.481027982882322,NEARUSDT_15min
APTUSDT,15min,-9.153624500000008,-0.9437214372026402,159,-15.663173464064423,APTUSDT_15min
ATOMUSDT,15min,-4.178454999999986,-0.737781059959844,159,-7.767616013855578,ATOMUSDT_15min
ALGOUSDT,15min,0.3085781000000002,1.142319115714552,142,-0.16481732751268482,ALGOUSDT_15min
SUIUSDT,15min,-0.21819939999999693,-0.09376484954808542,177,-1.6184462604790621,SUIUSDT_15min
DOTUSDT,15min,-0.012988000000010658,0.022781410587619358,144,-5.275652995337126,DOTUSDT_15min
XLMUSDT,15min,0.15400619999999976,0.5502619453713017,161,-0.43297246315218973,XLMUSDT_15min
TRXUSDT,15min,0.16522297,1.3102076053507974,138,-0.1584750471872414,TRXUSDT_15min
PEPEUSDT,15min,-4.204950000000035e-06,-0.28371362428122826,176,-2.25656058657443e-05,PEPEUSDT_15min
BTCUSDT,30min,68.17260753088932,1.5162810244603708,75,-26.514155832330523,BTCUSDT_30min
DOGEUSDT,30min,0.2449445199999999,1.1189496572534536,84,-0.17994594163692013,DOGEUSDT_30min
ETHUSDT,30min,101.80722101594164,1.769063505042698,73,-18.13681244147844,ETHUSDT_30min
LTCUSDT,30min,54.53591,1.1368082126958843,78,-32.034225535914686,LTCUSDT_30min
LUNCUSDT,30min,1.0387239999999943e-05,0.0858332395643369,84,-0.00011521828428405987,LUNCUSDT_30min
HBARUSDT,30min,0.19718584999999988,1.0839785907922552,81,-0.17686966692973913,HBARUSDT_30min
OMUSDT,30min,0.007883479999998944,0.013363862104898346,90,-2.9196825903487578,OMUSDT_30min
BNBUSDT,30min,111.95032211114786,1.8606182927737458,78,-19.613832792054733,BNBUSDT_30min
SOLUSDT,30min,146.81047836302338,1.657253471269779,70,-37.0182814577541,SOLUSDT_30min
ZENUSDT,30min,19.041000000000007,1.1218481525672561,81,-12.9515825692335,ZENUSDT_30min
NEARUSDT,30min,0.5573790000000036,0.13387584252065612,77,-5.602886704050451,NEARUSDT_30min
APTUSDT,30min,-4.582218299999997,-0.43333155458555883,79,-9.032382502807819,APTUSDT_30min
ATOMUSDT,30min,-1.5732869999999917,-0.259508641645613,77,-6.074519217187261,ATOMUSDT_30min
ALGOUSDT,30min,0.28966189999999986,1.0896968927550927,70,-0.20021887787650666,ALGOUSDT_30min
SUIUSDT,30min,1.141957899999999,0.5499695181880491,85,-1.6147401133094375,SUIUSDT_30min
